Price,Artist,Title,link,Suburb,Tag
"$10,000.00 ",Michelle Purves,Harmony in Blue,https://drive.google.com/file/d/1ILJte2JDPYouWAUHQBSetU_j7LASdPan/view?usp=drive_link,Ku-ring-gai,Harmonic
"$10,000.00 ",Ian Hansen,A Fast Passage,https://drive.google.com/file/d/1Rub0_OwJYyDW3tW6rrLniqIn3_LSDpcl/view?usp=drive_link,Balmain,Dynamic
"$10,000.00 ",Ian Hansen,Bass Strait Sea Waves,https://drive.google.com/file/d/17ey5xF_TIdga0Uii2nfUTpX1-hQIx5FI/view?usp=drive_link,Rozelle,Coastal
"$4,000.00 ",Mark Kensington,Rose Flower,https://drive.google.com/file/d/1mbuqqaddcv5_GwByJTarWDS0iHXpf9VG/view?usp=drive_link,Alexandria,Elegant
"$5,000.00 ",Mark Kensington,Beach Scene,https://drive.google.com/file/d/1GUYfHrsKua7EbuU-i5KRnHTPK4kIPv2T/view?usp=drive_link,Waterloo,Coastal
"$4,500.00 ",Melony Kara Smith,Within The Magic,https://drive.google.com/file/d/1jvfgj6HlFVsK6mMx1dSBUKi3UWWFIsv2/view?usp=drive_link,Liverpool,Expressive
"$4,000.00 ",Melony Kara Smith,Temple of Trees,https://drive.google.com/file/d/1du1cjnXbxvWZtgyYODeBMJE-wObND-i3/view?usp=drive_link,Cremorne,Cultivated
"$5,000.00 ",Melony Kara Smith,Submerged Serinity,https://drive.google.com/file/d/19TZCweqW75_msMTesIrUney9T0AXS62m/view?usp=drive_link,Parramatta,Serene
"$2,600.00 ",Melony Kara Smith,Floated,https://drive.google.com/file/d/14a6xoITYKGO9M3qrd-TCSNaRWcmNwc90/view?usp=drive_link,Hornsby,Innovative
"$4,500.00 ",Joanna Cole,Oil on Linen,https://drive.google.com/file/d/1Y1IM-eyyyBw2_go0wkxq6zyFMvrsQD1o/view?usp=drive_link,Woollahra,Artisanal
"$2,500.00 ",Joanna Cole,Oil on Board,https://drive.google.com/file/d/1rRk7oXwvglRpfH2-hJqSQmFKedLpBJnJ/view?usp=drive_link,Balmain,Artisanal
"$1,800.00 ",Joanna Cole,Gaucin Gums,https://drive.google.com/file/d/10Zrl9BeJz1I5bj9UB5KdBAaM--B6xbRQ/view?usp=drive_link,Parramatta,Natural
"$5,000.00 ",Guy Morgan,The Emperor's Retreat,https://drive.google.com/file/d/1TkHH50RVJo6TaTGUdOgMdjbqIAo44R2n/view?usp=drive_link,Hornsby,Sophisticated
